loan_id,borrower_name,origination_date,maturity_date,principal_balance,current_balance,interest_rate,monthly_payment,loan_status,property_type,ltv_ratio,credit_score,property_state,zip_code
LN_INST_1001,Jonathan Vance,2022-01-15,2052-01-15,350000.00,342500.00,4.25,1721.84,Current,Single Family,75,760,CA,90210
LN_INST_1002,Evelyn Montgomery,2021-03-20,2051-03-20,420000.00,408200.00,3.75,1945.10,Current,Condo,80,745,NY,10001
LN_INST_1003,Marcus Sterling,2023-06-10,2053-06-10,280000.00,276400.00,5.50,1589.82,Current,Townhouse,70,710,TX,75001
LN_INST_1004,,2020-09-01,2050-09-01,310000.00,298000.00,3.85,1454.12,Current,Single Family,80,725,FL,33101
LN_INST_1005,Hannah Abbott,2022-11-15,2052-11-15,-125000.00,121000.00,4.50,633.36,Current,Single Family,65,690,IL,60601
LN_INST_1006,David Davenport,2024-02-01,2021-05-15,290000.00,289000.00,6.25,1786.15,Current,Condo,85,680,WA,98101
LN_INST_1007,Rachel Green,2022-04-12,2052-04-12,195000.00,191500.00,31.75,5162.40,Current,Townhouse,90,640,GA,30301
LN_INST_1008,Anthony Ramirez,2021-08-30,2051-08-30,510000.00,495000.00,4.125,2469.80,Current,Multi Family,135,730,AZ,85001
LN_INST_1009,Clara Oswald,2023-01-10,2053-01-10,240000.00,237800.00,5.10,1303.45,Current,Single Family,72,490,NC,27514
LN_INST_1010,Geoffrey Rush,2020-05-22,2050-05-22,460000.00,441200.00,3.95,2183.19,Current,Single Family,78,775,XX,94102
LN_INST_1001,Jonathan Vance,2022-01-15,2052-01-15,350000.00,342500.00,4.25,1721.84,Current,Single Family,75,760,CA,90210
LN_INST_1012,Beatrice Castiglione,2021-07-18,2051-07-18,275000.00,268000.00,4.35,1368.61,Current,Condo,68,750,CO,80201
LN_INST_1013,Simon Fraser,2023-10-05,2053-10-05,390000.00,387000.00,6.75,2529.63,Current,Single Family,80,715,MA,02101
LN_INST_1014,Elena Rostova,2022-12-01,2052-12-01,315000.00,309200.00,4.85,1662.65,Current,Townhouse,74,740,PA,19101
LN_INST_1015,Arthur Pendelton,2021-04-14,2051-04-14,480000.00,466000.00,3.65,2197.35,Current,Single Family,82,780,VA,22030
LN_INST_1016,Maya Lin,2023-03-25,2053-03-25,225000.00,222100.00,5.75,1313.12,Current,Condo,70,705,OR,97201
LN_INST_1017,Victor Hugo,2020-10-10,2050-10-10,365000.00,351000.00,4.00,1742.57,Current,Single Family,77,735,MI,48201
LN_INST_1018,Diana Prince,2022-06-18,2052-06-18,445000.00,436000.00,4.60,2281.39,Current,Townhouse,80,765,TN,37201
LN_INST_1019,Julian Sterling,2021-09-09,2051-09-09,295000.00,287400.00,3.90,1390.62,Current,Single Family,73,720,OH,43201
LN_INST_1020,Seraphina Thorne,2023-07-22,2053-07-22,330000.00,326500.00,5.95,1968.10,Current,Condo,79,710,MN,55401
