loan_id,borrower_name,origination_date,maturity_date,principal_balance,current_balance,interest_rate,monthly_payment,loan_status,property_type,property_state,ltv_ratio,credit_score,zip_code
LN-100001,Elizabeth Jackson,02/02/2022,02/02/2038,402000,261300,7.16,4218,30 Days Delinquent,Condo,MI,64,654,81125
LN-100002,Sarah Martinez,09/23/2023,09/23/2044,308000,218680,46.27,2338,Paid Off,Commercial,SC,57,790,91508
LN-100003,Karen Johnson,04/22/2018,04/22/2039,363000,228690,3.42,1787,60 Days Delinquent,Commercial,UT,88,683,80225
,Sarah Davis,10/01/2021,10/01/2050,817000,678110,5,3970,60 Days Delinquent,Townhouse,MN,85,745,65776
LN-100005,Susan Jackson,02/14/2020,02/14/2035,704000,675840,39.43,1735,Paid Off,Townhouse,NJ,79,689,70615
LN-100006,Jennifer Lee,09/19/2018,09/19/2013,546000,338520,7.14,2894,Current,Commercial,MA,78,660,77005
,Nancy Hernandez,03/26/2022,03/26/2038,526000,510220,5.91,2902,Paid Off,Multi Family,UT,59,679,39605
LN-100008,Kimberly Thompson,01/23/2018,01/23/2038,326000,218420,4.75,2378,Current,Townhouse,IN,72,795,39140
,Emily Garcia,06/15/2018,06/15/2046,689000,523640,3.27,2300,Current,Commercial,AL,56,729,22633
LN-100010,,08/08/2023,08/08/2041,267000,173550,6.74,2465,Current,Townhouse,TN,91,631,41784
LN-100011,Lisa Lee,04/20/2019,04/20/2040,623000,517090,-3.83,1813,Current,Condo,MO,62,808,30057
LN-100012,Richard Jones,10/02/2023,10/02/2039,629000,522070,37.06,3578,Current,Condo,IN,82,815,49245
,Barbara Moore,04/22/2020,04/22/2037,793000,697840,7.09,4426,90+ Days Delinquent,Multi Family,CO,61,812,81055
LN-100014,Jessica Thompson,01/23/2018,01/23/2041,-155000,122450,7.62,3775,30 Days Delinquent,Townhouse,MI,90,806,17140
LN-100015,Thomas Moore,09/06/2018,09/06/2044,474000,289140,3.49,1216,90+ Days Delinquent,Multi Family,KY,93,705,30030
LN-100016,Sarah Moore,11/17/2020,11/17/2045,722000,671460,-7,1269,90+ Days Delinquent,Single Family,AL,68,752,84144
LN-100017,Thomas Williams,05/21/2020,05/21/2048,492000,413280,-6.03,2154,Paid Off,Commercial,NJ,63,778,99843
LN-100018,Anthony Sanchez,03/12/2023,03/12/2046,640000,409600,4.57,4238,90+ Days Delinquent,Single Family,CO,90,784,74232
LN-100019,Mark Harris,09/14/2022,09/14/2041,182000,149240,5.72,1739,60 Days Delinquent,Multi Family,MD,77,785,97001
LN-100020,,03/07/2020,03/07/2036,557000,417750,6.93,3527,90+ Days Delinquent,Townhouse,IN,88,732,37827
LN-100021,Emily Johnson,10/23/2021,10/23/2039,410000,385400,7.15,3283,Current,Multi Family,IL,66,621,30328
LN-100022,Mary Lee,04/25/2023,04/25/2038,791000,593250,3.59,1203,60 Days Delinquent,Townhouse,FL,58,625,38610
LN-100023,Christopher Rodriguez,01/16/2019,01/16/2041,580000,411800,-5.66,2053,90+ Days Delinquent,Multi Family,MA,73,762,59922
LN-100024,Sarah Wilson,08/20/2020,08/20/2015,481000,312650,5.87,2973,60 Days Delinquent,Townhouse,OH,61,727,84363
LN-100025,Matthew Miller,11/25/2018,11/25/2042,377000,365690,4.72,1770,60 Days Delinquent,Townhouse,IN,85,812,77372
LN-100026,Susan Johnson,05/02/2021,05/02/2046,347000,329650,5.29,4397,Paid Off,Commercial,KY,69,781,45752
LN-100027,Donna Jackson,06/01/2018,06/01/2038,303000,224220,6.3,2538,30 Days Delinquent,Condo,VA,95,794,80135
,Sarah Hernandez,01/20/2022,01/20/2045,773000,479260,6.37,1288,Paid Off,Condo,MD,68,789,80356
LN-100029,Thomas Moore,04/16/2022,04/16/2039,353000,275340,4.22,4144,Paid Off,Multi Family,NC,94,794,18489
LN-100030,Paul Rodriguez,06/22/2020,06/22/2046,631000,479560,7.19,2626,Current,Single Family,california,67,656,14743
LN-100031,Michael Lee,10/13/2021,10/13/2045,152000,127680,-4.12,1462,30 Days Delinquent,Single Family,OR,79,787,70018
LN-100032,Jessica Harris,07/23/2019,07/23/2037,411000,267150,-3.38,2030,Default,Condo,NC,85,790,51935
LN-100033,Richard Johnson,01/10/2021,01/10/2016,378000,351540,4.19,1442,Default,Multi Family,MO,95,739,26011
LN-100034,Andrew White,01/24/2020,01/24/2037,-673000,545130,7.69,1268,90+ Days Delinquent,Townhouse,OH,59,804,76416
LN-100035,Ashley Davis,08/16/2018,08/16/2041,365000,262800,6.19,3330,Current,Commercial,texas,68,734,79892
,Thomas Williams,08/14/2023,08/14/2045,200000,120000,6.09,3888,Paid Off,Multi Family,VA,79,699,98097
