loan_id,borrower_name,origination_date,maturity_date,principal_balance,current_balance,interest_rate,monthly_payment,loan_status,property_type,property_state,ltv_ratio,credit_score,zip_code
,Donna Robinson,03/24/2023,03/24/2048,226000,196620,6.19,2980,60 Days Delinquent,Townhouse,TN,68,763,55024
LN-100002,Jennifer Perez,05/27/2020,05/27/2046,-606000,466620,4.37,2020,30 Days Delinquent,Single Family,AL,58,733,65260
LN-100003,Sarah Lee,06/15/2019,06/15/2048,393000,251520,3.85,1563,90+ Days Delinquent,Multi Family,OH,70,777,56329
LN-100004,Christopher Garcia,07/20/2018,07/20/2044,797000,526020,6.01,4295,Default,Multi Family,MA,73,809,15816
LN-100005,Sandra Brown,08/19/2018,08/19/2045,490000,475300,6.58,4376,60 Days Delinquent,Condo,SC,92,785,97681
LN-100006,,08/23/2019,08/23/2039,570000,376200,6.3,1874,Default,Multi Family,CA,73,629,16712
LN-100007,Kimberly Lee,05/21/2019,05/21/2046,228000,186960,4.61,4376,30 Days Delinquent,Single Family,FL,87,718,92489
LN-100008,Daniel Hernandez,03/08/2019,03/08/2035,400000,256000,6.83,4428,30 Days Delinquent,Commercial,VA,73,738,32462
LN-100009,David Perez,05/10/2020,05/10/2049,234000,168480,7.74,1530,Current,Single Family,XX,74,724,24500
LN-100010,Ashley Rodriguez,02/24/2021,02/24/2016,293000,254910,4.85,2004,Current,Single Family,SC,73,752,44819
LN-100011,Daniel Moore,08/06/2019,08/06/2040,450000,333000,7.19,2885,60 Days Delinquent,Condo,MA,64,620,46467
LN-100012,Steven Martinez,10/15/2020,10/15/2048,221000,159120,5.53,3501,30 Days Delinquent,Condo,IN,65,794,56228
,Michelle Wilson,02/03/2023,02/03/2041,518000,502460,7.09,4415,Default,Commercial,NY,62,724,53101
LN-100014,Paul Harris,09/23/2020,09/23/2039,820000,770800,6.5,3459,Default,Multi Family,AZ,66,738,74716
LN-100015,Donna Davis,06/27/2023,06/27/2049,-688000,632960,4.07,1523,Paid Off,Multi Family,UT,55,774,61332
LN-100016,Robert Moore,02/23/2019,02/23/2049,422000,350260,-4.82,3290,Paid Off,Single Family,SC,81,718,30089
LN-100017,Joshua Gonzalez,04/24/2022,04/24/2049,299000,287040,7.06,2231,90+ Days Delinquent,Condo,MI,57,683,51482
,Joseph Smith,02/26/2021,02/26/2043,583000,524700,4.7,1459,90+ Days Delinquent,Condo,CT,70,669,72289
LN-100019,Paul Hernandez,05/01/2021,05/01/2046,826000,602980,6.56,3307,60 Days Delinquent,Commercial,PA,86,713,70442
LN-100020,Linda Wilson,07/03/2023,07/03/2051,293000,240260,6.62,2180,Default,Commercial,newyork,64,640,64100
LN-100021,Thomas Thomas,12/20/2020,12/20/2045,826000,784700,5.91,1866,30 Days Delinquent,Single Family,GA,81,804,53213
LN-100022,Mark Taylor,07/14/2018,07/14/2034,358000,229120,6.3,2161,Default,Single Family,NC,56,742,70997
LN-100023,Jennifer Ramirez,08/18/2020,08/18/2043,440000,316800,-4.91,4223,60 Days Delinquent,Multi Family,AL,69,729,88074
LN-100024,Betty Thomas,09/22/2019,09/22/2041,431000,396520,4.05,3060,90+ Days Delinquent,Single Family,FL,55,804,94986
LN-100025,Sandra Thomas,04/18/2018,04/18/2038,318000,302100,5.54,1764,Default,Multi Family,NY,80,811,16217
LN-100026,Paul Lopez,04/27/2021,04/27/2040,173000,124560,5.52,1878,Current,Multi Family,MD,76,729,34572
,Anthony Williams,12/05/2020,12/05/2039,278000,172360,3.3,3362,90+ Days Delinquent,Single Family,AL,81,744,56102
