loan_id,borrower_name,property_state,principal_balance,interest_rate,origination_date,maturity_date
LN_CLN_1,Borrower 1,CA,394317,5.50,2024-01-01,2054-01-01
LN_CLN_2,Borrower 2,CA,329106,7.60,2024-01-01,2054-01-01
LN_CLN_3,Borrower 3,CA,171785,9.20,2024-01-01,2054-01-01
LN_CLN_4,Borrower 4,CA,261765,6.00,2024-01-01,2054-01-01
LN_CLN_5,Borrower 5,CA,81930,5.70,2024-01-01,2054-01-01
LN_CLN_6,Borrower 6,CA,402149,9.80,2024-01-01,2054-01-01
LN_CLN_7,Borrower 7,CA,394583,9.70,2024-01-01,2054-01-01
LN_CLN_8,Borrower 8,CA,71999,6.50,2024-01-01,2054-01-01
LN_CLN_9,Borrower 9,CA,269960,8.80,2024-01-01,2054-01-01
LN_CLN_10,Borrower 10,CA,461617,2.30,2024-01-01,2054-01-01
LN_CLN_11,Borrower 11,CA,431434,7.10,2024-01-01,2054-01-01
LN_CLN_12,Borrower 12,CA,233698,5.30,2024-01-01,2054-01-01
LN_CLN_13,Borrower 13,CA,166134,9.10,2024-01-01,2054-01-01
LN_CLN_14,Borrower 14,CA,127615,1.60,2024-01-01,2054-01-01
LN_CLN_15,Borrower 15,CA,293008,2.10,2024-01-01,2054-01-01
LN_CLN_16,Borrower 16,CA,130439,6.20,2024-01-01,2054-01-01
LN_CLN_17,Borrower 17,CA,482519,5.40,2024-01-01,2054-01-01
LN_CLN_18,Borrower 18,CA,212451,1.30,2024-01-01,2054-01-01
LN_CLN_19,Borrower 19,CA,474547,1.70,2024-01-01,2054-01-01
LN_CLN_20,Borrower 20,CA,220693,6.20,2024-01-01,2054-01-01
LN_CLN_21,Borrower 21,CA,143586,2.10,2024-01-01,2054-01-01
LN_CLN_22,Borrower 22,CA,354674,8.50,2024-01-01,2054-01-01
LN_CLN_23,Borrower 23,CA,411860,3.70,2024-01-01,2054-01-01
LN_CLN_24,Borrower 24,CA,487852,8.50,2024-01-01,2054-01-01
LN_CLN_25,Borrower 25,CA,81372,4.80,2024-01-01,2054-01-01
LN_CLN_26,Borrower 26,CA,451465,8.40,2024-01-01,2054-01-01
LN_CLN_27,Borrower 27,CA,186851,1.60,2024-01-01,2054-01-01
LN_CLN_28,Borrower 28,CA,298959,4.10,2024-01-01,2054-01-01
LN_CLN_29,Borrower 29,CA,498345,5.30,2024-01-01,2054-01-01
LN_CLN_30,Borrower 30,CA,116342,4.90,2024-01-01,2054-01-01
LN_CLN_31,Borrower 31,CA,363432,7.50,2024-01-01,2054-01-01
LN_CLN_32,Borrower 32,CA,190649,5.80,2024-01-01,2054-01-01
LN_CLN_33,Borrower 33,CA,332467,2.20,2024-01-01,2054-01-01
LN_CLN_34,Borrower 34,CA,497823,9.30,2024-01-01,2054-01-01
LN_CLN_35,Borrower 35,CA,481160,5.30,2024-01-01,2054-01-01
LN_CLN_36,Borrower 36,CA,446787,3.10,2024-01-01,2054-01-01
LN_CLN_37,Borrower 37,CA,440986,3.90,2024-01-01,2054-01-01
LN_CLN_38,Borrower 38,CA,278532,1.20,2024-01-01,2054-01-01
LN_CLN_39,Borrower 39,CA,355494,5.00,2024-01-01,2054-01-01
LN_CLN_40,Borrower 40,CA,422882,6.70,2024-01-01,2054-01-01
LN_CLN_41,Borrower 41,CA,75910,8.00,2024-01-01,2054-01-01
