loan_id,borrower_name,property_state,principal_balance,interest_rate,origination_date,maturity_date
,No ID Borrower,TX,100000,5.5,2024-01-01,2054-01-01
LN_DUP_1,Dup One,TX,100000,5.5,2024-01-01,2054-01-01
LN_DUP_1,Dup Two,NY,200000,6.5,2024-01-01,2054-01-01
LN_MAL_1,Neg Balance,WA,-50000,5.5,2024-01-01,2054-01-01
LN_MAL_2,Neg Interest,FL,100000,-1.5,2024-01-01,2054-01-01
LN_MAL_3,High Interest,FL,100000,45.5,2024-01-01,2054-01-01
LN_MAL_4,Bad Dates,OH,100000,5.5,2024-01-01,2020-01-01
LN_MAL_5,Bad State,california,100000,5.5,2024-01-01,2054-01-01
LN_MAL_6,,NV,100000,5.5,2024-01-01,2054-01-01
LN_MAL_7,O'Connor <script>alert(1)</script>,OR,100000,5.5,2024-01-01,2054-01-01
LN_MAL_8,Giant Value,CA,999999999999.99,5.5,2024-01-01,2054-01-01
LN_MAL_9,Nulls,NULL,NULL,NULL,NULL,NULL
LN_MAL_10,Misc 10,CA,-40,45,2024-01-01,2020-01-01
LN_MAL_11,Misc 11,CA,-32,45,2024-01-01,2020-01-01
LN_MAL_12,Misc 12,CA,-60,45,2024-01-01,2020-01-01
LN_MAL_13,Misc 13,CA,-57,45,2024-01-01,2020-01-01
LN_MAL_14,Misc 14,CA,-14,45,2024-01-01,2020-01-01
LN_MAL_15,Misc 15,CA,-90,45,2024-01-01,2020-01-01
LN_MAL_16,Misc 16,CA,-98,45,2024-01-01,2020-01-01
LN_MAL_17,Misc 17,CA,-49,45,2024-01-01,2020-01-01
LN_MAL_18,Misc 18,CA,-76,45,2024-01-01,2020-01-01
LN_MAL_19,Misc 19,CA,-64,45,2024-01-01,2020-01-01
LN_MAL_20,Misc 20,CA,-16,45,2024-01-01,2020-01-01
LN_MAL_21,Misc 21,CA,-98,45,2024-01-01,2020-01-01
LN_MAL_22,Misc 22,CA,-37,45,2024-01-01,2020-01-01
LN_MAL_23,Misc 23,CA,-52,45,2024-01-01,2020-01-01
LN_MAL_24,Misc 24,CA,-62,45,2024-01-01,2020-01-01
LN_MAL_25,Misc 25,CA,-74,45,2024-01-01,2020-01-01
LN_MAL_26,Misc 26,CA,-46,45,2024-01-01,2020-01-01
LN_MAL_27,Misc 27,CA,-96,45,2024-01-01,2020-01-01
LN_MAL_28,Misc 28,CA,-95,45,2024-01-01,2020-01-01
LN_MAL_29,Misc 29,CA,-56,45,2024-01-01,2020-01-01
LN_MAL_30,Misc 30,CA,-69,45,2024-01-01,2020-01-01
LN_MAL_31,Misc 31,CA,-47,45,2024-01-01,2020-01-01
LN_MAL_32,Misc 32,CA,-33,45,2024-01-01,2020-01-01
LN_MAL_33,Misc 33,CA,-73,45,2024-01-01,2020-01-01
LN_MAL_34,Misc 34,CA,-92,45,2024-01-01,2020-01-01
LN_MAL_35,Misc 35,CA,-86,45,2024-01-01,2020-01-01
LN_MAL_36,Misc 36,CA,-39,45,2024-01-01,2020-01-01
LN_MAL_37,Misc 37,CA,-29,45,2024-01-01,2020-01-01
LN_MAL_38,Misc 38,CA,-88,45,2024-01-01,2020-01-01
LN_MAL_39,Misc 39,CA,-68,45,2024-01-01,2020-01-01
LN_MAL_40,Misc 40,CA,-74,45,2024-01-01,2020-01-01
LN_MAL_41,Misc 41,CA,-12,45,2024-01-01,2020-01-01
LN_MAL_42,Misc 42,CA,-69,45,2024-01-01,2020-01-01
LN_MAL_43,Misc 43,CA,-90,45,2024-01-01,2020-01-01
LN_MAL_44,Misc 44,CA,-10,45,2024-01-01,2020-01-01
LN_MAL_45,Misc 45,CA,-74,45,2024-01-01,2020-01-01
LN_MAL_46,Misc 46,CA,-73,45,2024-01-01,2020-01-01
LN_MAL_47,Misc 47,CA,-37,45,2024-01-01,2020-01-01
LN_MAL_48,Misc 48,CA,-55,45,2024-01-01,2020-01-01
LN_MAL_49,Misc 49,CA,-96,45,2024-01-01,2020-01-01
LN_MAL_50,Misc 50,CA,-45,45,2024-01-01,2020-01-01
LN_MAL_51,Misc 51,CA,-93,45,2024-01-01,2020-01-01
LN_MAL_52,Misc 52,CA,-57,45,2024-01-01,2020-01-01
LN_MAL_53,Misc 53,CA,-89,45,2024-01-01,2020-01-01
LN_MAL_54,Misc 54,CA,-36,45,2024-01-01,2020-01-01
LN_MAL_55,Misc 55,CA,-49,45,2024-01-01,2020-01-01
LN_MAL_56,Misc 56,CA,-42,45,2024-01-01,2020-01-01
LN_MAL_57,Misc 57,CA,-64,45,2024-01-01,2020-01-01
LN_MAL_58,Misc 58,CA,-38,45,2024-01-01,2020-01-01
LN_MAL_59,Misc 59,CA,-15,45,2024-01-01,2020-01-01
LN_MAL_60,Misc 60,CA,-34,45,2024-01-01,2020-01-01
LN_MAL_61,Misc 61,CA,-75,45,2024-01-01,2020-01-01
LN_MAL_62,Misc 62,CA,-80,45,2024-01-01,2020-01-01
LN_MAL_63,Misc 63,CA,-16,45,2024-01-01,2020-01-01
LN_MAL_64,Misc 64,CA,-30,45,2024-01-01,2020-01-01
LN_MAL_65,Misc 65,CA,-71,45,2024-01-01,2020-01-01
LN_MAL_66,Misc 66,CA,-70,45,2024-01-01,2020-01-01
LN_MAL_67,Misc 67,CA,-28,45,2024-01-01,2020-01-01
LN_MAL_68,Misc 68,CA,-61,45,2024-01-01,2020-01-01
LN_MAL_69,Misc 69,CA,-35,45,2024-01-01,2020-01-01
LN_MAL_70,Misc 70,CA,-35,45,2024-01-01,2020-01-01
LN_MAL_71,Misc 71,CA,-42,45,2024-01-01,2020-01-01
LN_MAL_72,Misc 72,CA,-43,45,2024-01-01,2020-01-01
LN_MAL_73,Misc 73,CA,-85,45,2024-01-01,2020-01-01
LN_MAL_74,Misc 74,CA,-22,45,2024-01-01,2020-01-01
LN_MAL_75,Misc 75,CA,-91,45,2024-01-01,2020-01-01
LN_MAL_76,Misc 76,CA,-17,45,2024-01-01,2020-01-01
LN_MAL_77,Misc 77,CA,-65,45,2024-01-01,2020-01-01
LN_MAL_78,Misc 78,CA,-49,45,2024-01-01,2020-01-01
LN_MAL_79,Misc 79,CA,-25,45,2024-01-01,2020-01-01
LN_MAL_80,Misc 80,CA,-86,45,2024-01-01,2020-01-01
LN_MAL_81,Misc 81,CA,-77,45,2024-01-01,2020-01-01
LN_MAL_82,Misc 82,CA,-22,45,2024-01-01,2020-01-01
LN_MAL_83,Misc 83,CA,-83,45,2024-01-01,2020-01-01
LN_MAL_84,Misc 84,CA,-10,45,2024-01-01,2020-01-01
LN_MAL_85,Misc 85,CA,-79,45,2024-01-01,2020-01-01
LN_MAL_86,Misc 86,CA,-80,45,2024-01-01,2020-01-01
