loan_id,borrower_name,property_state,principal_balance,interest_rate,origination_date,maturity_date
LN_MSV_1,Massive Borrower 1,TX,262993,2.00,2024-01-01,2054-01-01
LN_MSV_2,Massive Borrower 2,TX,386200,9.40,2024-01-01,2054-01-01
LN_MSV_3,Massive Borrower 3,TX,424012,7.10,2024-01-01,2054-01-01
LN_MSV_4,Massive Borrower 4,TX,421648,8.10,2024-01-01,2054-01-01
LN_MSV_5,Massive Borrower 5,TX,265410,2.50,2024-01-01,2054-01-01
LN_MSV_6,Massive Borrower 6,TX,259753,9.60,2024-01-01,2054-01-01
LN_MSV_7,Massive Borrower 7,TX,402419,6.90,2024-01-01,2054-01-01
LN_MSV_8,Massive Borrower 8,TX,273359,7.50,2024-01-01,2054-01-01
LN_MSV_9,Massive Borrower 9,TX,461680,7.90,2024-01-01,2054-01-01
LN_MSV_10,Massive Borrower 10,TX,495206,9.80,2024-01-01,2054-01-01
LN_MSV_11,Massive Borrower 11,TX,276670,4.00,2024-01-01,2054-01-01
LN_MSV_12,Massive Borrower 12,TX,471974,1.10,2024-01-01,2054-01-01
LN_MSV_13,Massive Borrower 13,TX,70409,7.70,2024-01-01,2054-01-01
LN_MSV_14,Massive Borrower 14,TX,61308,5.00,2024-01-01,2054-01-01
LN_MSV_15,Massive Borrower 15,TX,368138,9.80,2024-01-01,2054-01-01
LN_MSV_16,Massive Borrower 16,TX,308166,3.30,2024-01-01,2054-01-01
LN_MSV_17,Massive Borrower 17,TX,144333,5.10,2024-01-01,2054-01-01
LN_MSV_18,Massive Borrower 18,TX,306000,5.90,2024-01-01,2054-01-01
LN_MSV_19,Massive Borrower 19,TX,332576,1.20,2024-01-01,2054-01-01
LN_MSV_20,Massive Borrower 20,TX,424646,9.00,2024-01-01,2054-01-01
LN_MSV_21,Massive Borrower 21,TX,222105,3.30,2024-01-01,2054-01-01
LN_MSV_22,Massive Borrower 22,TX,155163,9.40,2024-01-01,2054-01-01
LN_MSV_23,Massive Borrower 23,TX,185205,1.00,2024-01-01,2054-01-01
LN_MSV_24,Massive Borrower 24,TX,305905,3.10,2024-01-01,2054-01-01
LN_MSV_25,Massive Borrower 25,TX,144584,7.00,2024-01-01,2054-01-01
LN_MSV_26,Massive Borrower 26,TX,499878,1.00,2024-01-01,2054-01-01
LN_MSV_27,Massive Borrower 27,TX,202486,8.60,2024-01-01,2054-01-01
LN_MSV_28,Massive Borrower 28,TX,473145,3.80,2024-01-01,2054-01-01
LN_MSV_29,Massive Borrower 29,TX,284606,5.10,2024-01-01,2054-01-01
LN_MSV_30,Massive Borrower 30,TX,87003,5.20,2024-01-01,2054-01-01
LN_MSV_31,Massive Borrower 31,TX,354248,7.70,2024-01-01,2054-01-01
LN_MSV_32,Massive Borrower 32,TX,368338,9.00,2024-01-01,2054-01-01
LN_MSV_33,Massive Borrower 33,TX,492376,6.00,2024-01-01,2054-01-01
LN_MSV_34,Massive Borrower 34,TX,324389,1.40,2024-01-01,2054-01-01
LN_MSV_35,Massive Borrower 35,TX,275417,3.10,2024-01-01,2054-01-01
