loan_id,borrower_name,origination_date,maturity_date,principal_balance,current_balance,interest_rate,monthly_payment,loan_status,property_type,property_state,ltv_ratio,credit_score,zip_code
LN-100001,,11/02/2022,11/02/2037,589000,500650,3.28,2699,Current,Townhouse,VA,69,640,94882
LN-100002,Andrew Johnson,11/03/2019,11/03/2014,271000,211380,3.31,3886,Default,Condo,VA,91,649,37438
LN-100003,,03/01/2018,03/01/2034,154000,146300,6.16,3451,Current,Multi Family,MO,56,813,86918
LN-100004,,08/07/2020,08/07/2037,599000,365390,6.45,2874,30 Days Delinquent,Commercial,MA,84,624,66884
LN-100005,Thomas Miller,06/17/2022,06/17/2048,472000,335120,7.33,4449,60 Days Delinquent,Multi Family,AZ,78,677,66852
LN-100006,Thomas Davis,10/06/2023,10/06/2018,800000,720000,4.07,2081,30 Days Delinquent,Commercial,PA,57,654,55372
LN-100007,Michael Davis,12/22/2023,12/22/2051,641000,602540,46.7,4325,Default,Multi Family,LA,64,657,84194
LN-100008,Steven Smith,11/08/2021,11/08/2038,635000,527050,47.35,2639,90+ Days Delinquent,Single Family,KY,55,649,94009
LN-100009,Joseph Harris,07/22/2023,07/22/2050,310000,189100,5.2,1751,Paid Off,Single Family,fl,88,802,83064
LN-100010,Elizabeth Lopez,08/09/2021,08/09/2050,727000,588870,47.17,3711,Paid Off,Townhouse,UT,58,731,41868
LN-100011,Sarah White,03/18/2021,03/18/2050,358000,243440,5.85,3465,90+ Days Delinquent,Commercial,CO,82,736,25853
,Andrew Williams,10/11/2019,10/11/2039,309000,194670,3.63,1797,60 Days Delinquent,Single Family,MA,93,775,37378
LN-100013,Linda Wilson,05/27/2023,05/27/2052,730000,459900,6.57,3251,Paid Off,Townhouse,MI,77,758,96646
LN-100014,Betty Davis,09/02/2021,09/02/2047,483000,400890,-7.42,2928,Paid Off,Townhouse,TX,76,756,11383
LN-100015,Paul Lewis,09/06/2020,09/06/2045,758000,538180,-3.58,1226,30 Days Delinquent,Townhouse,PA,73,758,73500
LN-100016,Sandra Harris,10/08/2020,10/08/2038,744000,543120,4.59,2690,60 Days Delinquent,Condo,TX,59,720,71708
LN-100017,Kimberly Smith,04/06/2021,04/06/2050,558000,340380,4.42,2504,60 Days Delinquent,Condo,CO,71,716,22890
LN-100018,Anthony Gonzalez,04/27/2018,04/27/2013,538000,484200,5.37,3689,60 Days Delinquent,Townhouse,CT,88,694,21564
LN-100019,Elizabeth White,10/22/2021,10/22/2044,-626000,381860,6.77,1503,60 Days Delinquent,Multi Family,CT,92,756,38960
LN-100020,Joseph Gonzalez,10/04/2023,10/04/2044,733000,681690,6.53,4224,Paid Off,Townhouse,FL,58,659,23229
LN-100021,Sandra Taylor,08/25/2023,08/25/2043,493000,428910,-3.81,3305,90+ Days Delinquent,Condo,MN,93,801,16936
LN-100022,Linda Davis,02/02/2020,02/02/2046,684000,663480,5.91,1906,90+ Days Delinquent,Single Family,MO,93,767,32031
LN-100023,Daniel Robinson,03/17/2018,03/17/2047,586000,380900,4.53,2535,Default,Single Family,ZZ,69,672,79868
LN-100024,Thomas Sanchez,12/25/2020,12/25/2036,441000,383670,7.45,2875,Current,Condo,KY,55,706,72050
LN-100025,Richard Jackson,11/13/2023,11/13/2053,527000,400520,5.88,1738,Current,Commercial,MI,86,819,34047
LN-100026,Donna Lopez,12/24/2018,12/24/2013,278000,219620,5.53,1883,Default,Townhouse,AZ,71,757,50305
LN-100027,Betty Williams,05/28/2023,05/28/2053,332000,305440,7.62,4227,Paid Off,Condo,VA,68,714,65065
LN-100028,Donna Harris,03/17/2022,03/17/2037,833000,624750,5.51,2820,30 Days Delinquent,Townhouse,NC,79,774,99643
LN-100029,Elizabeth Jones,10/25/2018,10/25/2043,163000,125510,6.29,3166,Current,Commercial,AZ,88,726,21054
LN-100030,David White,12/08/2021,12/08/2046,780000,639600,5.67,2497,Current,Commercial,OR,73,691,84829
LN-100031,Sandra Jackson,03/11/2022,03/11/2037,828000,579600,36.93,1708,Current,Multi Family,TN,69,791,20854
,Michelle Garcia,11/14/2020,11/14/2047,173000,148780,6.18,1813,Default,Multi Family,TX,56,797,46343
,Richard Williams,10/07/2023,10/07/2040,472000,372880,6.69,2710,90+ Days Delinquent,Commercial,GA,59,646,80543
LN-100034,Joshua Clark,02/05/2021,02/05/2046,823000,658400,3.86,3403,Paid Off,Commercial,GA,65,803,72721
LN-100035,Mark Wilson,11/05/2019,11/05/2048,383000,375340,5.25,1237,Paid Off,Multi Family,AL,80,650,84516
LN-100036,Richard Martin,07/12/2021,07/12/2047,651000,566370,7.13,2833,Paid Off,Multi Family,WA,87,770,94470
LN-100037,Mary Sanchez,07/20/2019,07/20/2014,311000,239470,7.23,3236,Current,Multi Family,NY,81,817,66826
LN-100038,William Robinson,06/24/2020,06/24/2048,216000,209520,3.66,3271,Default,Condo,GA,70,758,73763
LN-100039,Susan Johnson,06/27/2023,06/27/2051,177000,159300,5.04,2122,30 Days Delinquent,Single Family,MA,58,635,51974
LN-100040,Sandra Jones,07/09/2019,07/09/2040,777000,582750,6.43,1466,90+ Days Delinquent,Townhouse,KY,63,695,77111
LN-100041,,12/13/2021,12/13/2049,605000,556600,3.63,4197,Default,Single Family,MI,63,820,89005
LN-100042,Sandra Lee,10/24/2022,10/24/2047,708000,453120,36.42,2382,Paid Off,Townhouse,KY,82,778,27221
LN-100043,Jessica Martin,12/27/2019,12/27/2035,227000,215650,4.98,3138,90+ Days Delinquent,Commercial,OH,79,648,57343
LN-100044,John Martin,07/10/2018,07/10/2036,328000,246000,7.65,4315,90+ Days Delinquent,Townhouse,NY,89,817,30827
LN-100045,John Perez,08/25/2021,08/25/2046,458000,293120,44.75,3980,Current,Multi Family,VA,65,752,56183
LN-100046,Emily Taylor,08/27/2020,08/27/2049,330000,214500,4.09,2098,90+ Days Delinquent,Commercial,MD,71,672,43139
,Christopher Hernandez,09/08/2021,09/08/2041,297000,193050,5.65,1670,Default,Single Family,MI,89,655,85508
LN-100048,Andrew Miller,12/10/2022,12/10/2048,795000,691650,4.15,3541,90+ Days Delinquent,Condo,MD,55,759,89006
LN-100049,Barbara Brown,12/03/2020,12/03/2047,467000,303550,3.38,1544,90+ Days Delinquent,Condo,CO,80,721,46868
LN-100050,Sarah Garcia,07/07/2019,07/07/2045,658000,454020,35.12,1259,Paid Off,Commercial,OH,88,771,70278
LN-100051,Betty Lee,08/02/2021,08/02/2016,267000,248310,4.39,1559,Paid Off,Single Family,FL,95,688,40562
LN-100052,Matthew Williams,03/24/2019,03/24/2043,683000,601040,5.57,3202,30 Days Delinquent,Commercial,GA,84,620,16968
LN-100053,Jennifer Martin,02/13/2023,02/13/2047,714000,478380,5.34,4269,90+ Days Delinquent,Condo,VA,81,637,72234
LN-100054,Donna Taylor,09/17/2022,09/17/2043,821000,533650,40.26,1753,Paid Off,Commercial,TN,57,720,83745
LN-100055,Joseph Perez,02/24/2019,02/24/2034,705000,564000,6.74,2752,90+ Days Delinquent,Single Family,OH,76,712,10516
LN-100056,Patricia Moore,05/11/2021,05/11/2040,-807000,548760,3.97,2457,90+ Days Delinquent,Multi Family,LA,56,709,45241
LN-100057,Donna Jones,04/09/2021,04/09/2046,608000,577600,31.78,1955,Current,Commercial,WI,92,666,61591
LN-100058,Richard Harris,04/27/2022,04/27/2040,405000,348300,7.39,3418,Default,Single Family,SC,95,708,33686
LN-100059,Susan Garcia,06/26/2020,06/26/2048,669000,515130,46.76,4227,Default,Single Family,MD,90,766,20730
LN-100060,Matthew Jackson,01/08/2023,01/08/2042,789000,544410,3.71,3852,30 Days Delinquent,Single Family,KY,69,629,20980
LN-100061,David Perez,03/10/2023,03/10/2052,335000,257950,44.37,2290,60 Days Delinquent,Townhouse,PA,80,647,58494
LN-100062,,12/07/2019,12/07/2041,481000,346320,7,2351,Default,Commercial,TN,59,731,22627
,Karen Brown,07/07/2021,07/07/2040,396000,249480,3.84,3120,Default,Commercial,IN,77,776,78696
LN-100064,Margaret Davis,06/21/2019,06/21/2038,346000,217980,5.11,3227,Current,Condo,UT,85,752,70331
LN-100045,Kimberly Davis,06/16/2021,06/16/2039,636000,553320,4.81,4124,Paid Off,Single Family,OK,94,690,39624
LN-100066,Margaret Jackson,04/12/2022,04/12/2047,799000,503370,4.7,2339,90+ Days Delinquent,Multi Family,CA,61,811,75465
LN-100067,,01/15/2020,01/15/2044,430000,331100,7.1,4493,Current,Condo,CO,88,662,80400
LN-100068,Paul Harris,01/19/2019,01/19/2038,799000,495380,4.26,2739,90+ Days Delinquent,Townhouse,IN,56,801,60622
LN-100069,Matthew Sanchez,03/25/2021,03/25/2044,295000,215350,4.59,3057,30 Days Delinquent,Multi Family,NJ,91,781,58308
LN-100070,,12/14/2022,12/14/2037,681000,633330,5.2,3090,60 Days Delinquent,Townhouse,MN,74,681,84497
LN-100071,Barbara Jones,04/26/2022,04/26/2048,769000,615200,4.21,4079,30 Days Delinquent,Multi Family,UT,90,790,13594
LN-100072,Thomas White,12/05/2019,12/05/2047,423000,414540,6.88,3450,60 Days Delinquent,Commercial,MD,76,764,45469
,Betty Thompson,01/24/2023,01/24/2049,785000,549500,5.62,1545,90+ Days Delinquent,Commercial,NJ,80,636,78803
LN-100074,Anthony Gonzalez,09/16/2018,09/16/2041,243000,165240,36.93,3420,90+ Days Delinquent,Multi Family,NC,84,746,58809
LN-100075,Mark Hernandez,09/10/2018,09/10/2047,-444000,404040,4.95,1623,60 Days Delinquent,Multi Family,PA,77,816,22825
LN-100076,Donna Thomas,09/28/2022,09/28/2046,-392000,376320,6.25,4423,60 Days Delinquent,Townhouse,OR,82,690,57958
LN-100077,Michael Clark,12/04/2019,12/04/2034,266000,239400,-5.56,1381,30 Days Delinquent,Townhouse,MD,67,733,25332
LN-100078,David Anderson,02/07/2020,02/07/2045,298000,250320,7.34,2856,Current,Commercial,UT,80,658,23188
LN-100079,Jennifer Brown,07/19/2021,07/19/2042,300000,282000,-5.8,4388,30 Days Delinquent,Multi Family,NY,61,699,58253
LN-100080,Christopher Miller,11/09/2021,11/09/2049,675000,479250,4.42,1543,30 Days Delinquent,Single Family,MO,59,723,32681
LN-100081,Richard Perez,12/02/2022,12/02/2040,663000,464100,-5.78,3868,Default,Single Family,WI,95,778,64214
LN-100082,Paul Thomas,10/09/2020,10/09/2039,380000,304000,4.7,4289,Default,Multi Family,XX,87,727,52200
LN-100083,Linda Jones,04/05/2019,04/05/2038,460000,391000,7.4,2060,Paid Off,Townhouse,NJ,82,797,28305
LN-100084,Betty Smith,01/22/2020,01/22/2048,-742000,719740,4.13,1582,Default,Multi Family,TN,83,714,22430
LN-100085,Robert Jones,01/01/2019,01/01/2043,401000,268670,5.82,3747,90+ Days Delinquent,Condo,ZZ,75,801,43991
LN-100086,Jessica Anderson,02/04/2021,02/04/2042,274000,178100,-3.8,4341,60 Days Delinquent,Multi Family,NC,70,814,75123
LN-100087,Charles Hernandez,09/27/2022,09/27/2038,590000,525100,4.77,2977,Current,Townhouse,KY,56,759,92119
LN-100088,Susan Williams,05/07/2021,05/07/2042,694000,492740,6.91,3647,Paid Off,Condo,SC,61,768,72448
LN-100089,Christopher Johnson,07/13/2018,07/13/2040,688000,433440,-5.55,1758,Default,Townhouse,CT,75,726,23209
LN-100090,Charles Moore,08/04/2020,08/04/2036,-659000,527200,5.9,2861,Default,Condo,OK,57,638,33273
LN-100091,Jessica Ramirez,11/07/2022,11/07/2046,329000,269780,5.41,2816,30 Days Delinquent,Townhouse,OH,95,778,98564
LN-100092,Paul Moore,01/07/2020,01/07/2046,770000,508200,6.17,3259,Current,Single Family,OH,85,723,40349
,Betty Anderson,04/11/2023,04/11/2047,317000,301150,3.45,1866,30 Days Delinquent,Multi Family,WA,82,742,63632
LN-100094,Emily Jones,04/24/2023,04/24/2051,481000,437710,6.49,3843,90+ Days Delinquent,Condo,AZ,84,812,77826
LN-100095,Patricia Gonzalez,04/26/2019,04/26/2044,836000,802560,6.88,2900,30 Days Delinquent,Single Family,GA,64,720,94869
,Lisa Brown,05/13/2018,05/13/2041,775000,542500,4.73,2726,90+ Days Delinquent,Townhouse,MI,56,712,78576
LN-100097,Sarah Jones,01/14/2022,01/14/2046,393000,279030,-3.28,1932,60 Days Delinquent,Commercial,MI,85,789,55870
LN-100098,John Hernandez,03/28/2021,03/28/2038,593000,533700,4.41,4090,60 Days Delinquent,Townhouse,OK,63,762,51602
LN-100099,Karen Williams,06/10/2021,06/10/2051,554000,531840,-6.19,4112,30 Days Delinquent,Single Family,TX,89,652,28973
LN-100100,Linda Miller,07/19/2023,07/19/2018,707000,572670,6.51,2845,Default,Townhouse,NC,72,784,41289
LN-100101,Mark Perez,08/06/2022,08/06/2046,207000,171810,3.58,2059,60 Days Delinquent,Single Family,FL,55,685,32976
LN-100102,Daniel Garcia,05/02/2018,05/02/2037,672000,456960,7.27,2577,90+ Days Delinquent,Multi Family,fl,56,685,47755
LN-100103,Susan Clark,08/28/2019,08/28/2048,776000,496640,4.53,3063,Default,Condo,CO,95,689,34224
LN-100104,Daniel Brown,10/06/2018,10/06/2040,258000,185760,37.43,3226,Current,Condo,AZ,92,755,72786
LN-100105,Betty Harris,11/24/2023,11/24/2045,185000,125800,3.82,3761,Default,Condo,MA,80,754,64935
LN-100002,Michael Robinson,01/11/2022,01/11/2037,620000,545600,4.4,2823,Current,Condo,MA,75,696,25835
LN-100107,Steven Smith,04/03/2022,04/03/2037,645000,503100,4.25,1517,90+ Days Delinquent,Commercial,california,65,794,22836
LN-100108,Sandra White,07/16/2021,07/16/2038,-302000,292940,6.25,4111,30 Days Delinquent,Condo,NY,63,722,48769
LN-100109,Sarah Wilson,05/27/2021,05/27/2050,653000,470160,35.64,3946,Default,Commercial,MA,69,810,12853
LN-100110,Michael Moore,03/08/2018,03/08/2034,682000,634260,6.56,1662,30 Days Delinquent,Commercial,99,56,728,64730
,Margaret Davis,05/12/2019,05/12/2044,782000,594320,3.83,3573,Default,Condo,SC,69,802,47995
LN-100112,Joshua Jackson,02/20/2020,02/20/2050,725000,464000,3.51,2175,Paid Off,Commercial,KY,67,651,91292
LN-100113,Michael White,07/10/2020,07/10/2035,483000,338100,6.93,2530,90+ Days Delinquent,Single Family,UT,76,644,42768
LN-100114,,03/15/2023,03/15/2045,326000,270580,7.57,4113,90+ Days Delinquent,Townhouse,FL,82,684,56330
LN-100115,Donna Martin,10/05/2021,10/05/2041,413000,251930,4.29,3623,90+ Days Delinquent,Condo,NJ,92,623,77451
,Michelle Hernandez,09/06/2019,09/06/2049,758000,485120,6.22,3681,60 Days Delinquent,Single Family,CA,82,671,49953
LN-100117,Donald Gonzalez,10/26/2018,10/26/2040,600000,474000,4.66,3846,30 Days Delinquent,Condo,AL,78,800,69309
LN-100118,Linda Davis,05/09/2021,05/09/2038,224000,199360,6.36,1213,Current,Multi Family,NC,58,758,24764
LN-100119,Anthony Robinson,10/15/2022,10/15/2047,257000,203030,5.09,2691,Default,Condo,newyork,79,621,33949
,Karen Rodriguez,07/22/2022,07/22/2038,450000,306000,4.71,3057,Default,Single Family,IN,60,779,77231
LN-100121,Michelle Jones,01/01/2020,01/01/2040,742000,526820,7.09,2423,60 Days Delinquent,Multi Family,MA,92,782,47071
LN-100122,Steven White,12/05/2018,12/05/2042,-760000,615600,4.19,4024,60 Days Delinquent,Commercial,SC,93,622,25543
LN-100123,Thomas Harris,10/13/2018,10/13/2036,-183000,135420,3.29,4136,60 Days Delinquent,Single Family,NC,69,647,92799
LN-100124,Michelle Davis,01/01/2018,01/01/2039,687000,474030,3.68,1204,30 Days Delinquent,Commercial,texas,69,761,94908
LN-100125,Donna Gonzalez,06/19/2022,06/19/2051,725000,493000,33.82,3068,60 Days Delinquent,Townhouse,NJ,80,701,95026
LN-100126,Sarah Martinez,01/06/2019,01/06/2040,610000,597800,6.75,4217,Paid Off,Multi Family,IL,55,751,86684
LN-100127,Richard Gonzalez,01/03/2019,01/03/2041,844000,683640,7.7,1701,Current,Multi Family,CO,88,626,53403
LN-100128,Matthew Ramirez,04/25/2022,04/25/2037,457000,333610,-3.91,2890,30 Days Delinquent,Multi Family,MO,66,657,15291
LN-100129,Robert Brown,03/11/2021,03/11/2051,432000,397440,-3.97,4336,60 Days Delinquent,Single Family,NJ,85,760,15506
LN-100130,Joseph Smith,02/03/2018,02/03/2044,259000,225330,3.93,4393,30 Days Delinquent,Multi Family,SC,58,669,34136
LN-100131,Donna Thompson,03/19/2022,03/19/2045,472000,453120,-4.96,2750,90+ Days Delinquent,Commercial,FL,82,804,20180
LN-100132,Steven Martin,10/19/2018,10/19/2035,339000,284760,6.78,1547,60 Days Delinquent,Townhouse,MI,58,781,21737
LN-100133,Susan Smith,09/14/2023,09/14/2050,393000,282960,7.29,3065,30 Days Delinquent,Single Family,CT,59,726,24575
LN-100134,Sarah Robinson,09/28/2020,09/28/2042,419000,310060,3.54,2527,60 Days Delinquent,Single Family,AZ,92,753,66364
LN-100135,Linda Perez,08/10/2019,08/10/2037,607000,528090,39.22,2283,Current,Single Family,MA,72,789,28355
LN-100136,Joshua Brown,09/08/2020,09/08/2038,570000,410400,-4.62,3037,Paid Off,Commercial,NY,61,722,64819
LN-100137,Emily Williams,04/13/2023,04/13/2040,739000,672490,46.28,1383,30 Days Delinquent,Condo,AL,88,746,69438
,Kimberly Jackson,12/14/2023,12/14/2053,592000,449920,6.5,3338,Paid Off,Commercial,MN,78,629,56353
LN-100139,Betty Anderson,02/22/2020,02/22/2037,710000,681600,47.96,3680,Default,Multi Family,AZ,62,634,81185
