id,upload_batch_id,loan_id,borrower_name,property_address,property_city,property_state,property_zip,principal_balance,interest_rate,origination_date,maturity_date,loan_status,property_type,borrower_id,original_principal,current_balance,term_months,loan_purpose,payment_status,days_past_due,document_status,last_updated_at,source_system,verified_by,reviewer_decision,ai_recommendation,ai_suggested_value,ai_confidence,validation_status,is_verified,verified_at,verified_hash
"ln_14f95d70-309a-4841-b0c0-ca7653861ad7","batch_1788276560383","LN_MSV_843_CANONICAL_8201","Massive Borrower 843","null","null","TX","null","157049","6.4","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","resolve","Duplicate Loan ID detected: LN_MSV_843. Another record in the active portfolio shares this identifier, violating primary key uniqueness.","null","null","verified","1","2026-09-01 15:29:28","279e6f6f65401e44bd5370cca56a879dc011187fc80e23de572d0016768acc24"
"ln_d1d2ffcf-9edc-4c2f-91e0-ffd7b820ef56","batch_1788276560383","LN_MSV_1643","Massive Borrower 1643","null","null","TX","null","85384","9.1","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","batch_approved","null","null","null","verified","1","2026-09-01 15:29:28","4b49dd06124617d87b081deb647af1660ba1d669c2455ac7a1e577b02affb293"
"ln_22aa0d7f-f54f-4f2a-b30d-a62bd4d08b43","batch_1788276560383","LN_MSV_1952","Massive Borrower 1952","null","null","TX","null","386217","9.2","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","batch_approved","null","null","null","verified","1","2026-09-01 15:29:28","3d5743e20259d29d63ec96b405fed0e131c19dfa494db3451d6d828a39542369"
"ln_6e257e6b-2e63-445c-9f39-50407846dce2","batch_1788276560383","LN_MSV_2780","Massive Borrower 2780","null","null","TX","null","71662","4.4","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","batch_approved","null","null","null","verified","1","2026-09-01 15:29:28","a7bb939b1f2d791804b6c40a029d35a1ac86487b7351159e638d025e28cd9c7e"
"ln_98381fc9-6e8b-4771-8ba5-0396747b975e","batch_1788280782235","LN_MSV_402","Massive Borrower 402","null","null","TX","null","435315","6.6","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","batch_approved","null","null","null","verified","1","2026-09-01 16:39:43","1908a9214648c3ef2fe98fb4ebb79fa4e44ca4b161c88aace71aa8fb9740bc60"
"ln_99dfe706-4980-489c-9d46-c44ffacb7d13","batch_1788280782235","LN_MSV_497_V2","Massive Borrower 497","null","null","TX","null","227274","2.2","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Aditya Raj","resolve","Duplicate Loan ID detected: LN_MSV_497. Another record in the active portfolio shares this identifier, violating primary key uniqueness.","null","null","verified","1","2026-09-01 16:52:22","f2207d54fe9b1399aab60dbc17467e827e5c4a9c608eb27e9f02b0a19eec84b3"
"ln_8feb9b86-9875-4b47-bb00-aa103d5efc58","batch_1788280782235","LN_MSV_1888","Massive Borrower 1888","null","null","TX","null","353822","3.5","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","batch_approved","null","null","null","verified","1","2026-09-01 16:39:43","cc052b33336ca77ca779edaf472189272c4c71c657018072cbfa7b89d4ceef76"
"ln_7db5a180-1e3c-4c35-900c-b99500af4ea2","batch_1788280782235","LN_MSV_2520_V2","Massive Borrower 2520","null","null","TX","null","439420","6.4","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Aditya Raj","resolve","Duplicate Loan ID detected: LN_MSV_2520. Another record in the active portfolio shares this identifier, violating primary key uniqueness.","null","null","verified","1","2026-09-01 17:07:57","6f90db75161d23e42ae83e2fe418e5cc49c8985fe55767fa50040f6b0fc47305"
"ln_80e1a42f-aab9-4268-93f7-d1b245ef5b75","batch_1788280782235","LN_MSV_2727_V2","Massive Borrower 2727","null","null","TX","null","310284","6.5","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Aditya Raj","resolve","Duplicate Loan ID detected: LN_MSV_2727. Another record in the active portfolio shares this identifier, violating primary key uniqueness.","null","null","verified","1","2026-09-01 16:57:04","bc9b198af33610054f733a7cb61dd186d57c49dcd96f8d049d2f1ff687313c14"
"ln_0d84fbb8-00f8-4d2e-804b-323a5effb8cf","batch_1788280782235","LN_MSV_2938_CANONICAL_3677","Massive Borrower 2938","null","null","TX","null","122729","4.5","2024-01-01","2054-01-01","","null","","0","0","0","","","0","","","Origination_Tape","Rajesh Menon","resolve","Duplicate Loan ID detected: LN_MSV_2938. Another record in the active portfolio shares this identifier, violating primary key uniqueness.","null","null","verified","1","2026-09-01 16:39:43","007d01470417e4c0f96a50d9d2bbbbd6dcd2d684987bd100108130f30e28cace"
